,RT_Time,RT_Depth,RT_PUMP_ON,RT_PUMP_OFF,RT_ROP,RT_RPM.W,RT_SLIDE_BIT,RT_WOB,MR_GAMA.5S5A,MR_FLOW.M,MR_ROTATION,MR_RPM-AVG.MR,MR_RPM-MAG-AVG.MR,MR_GRAV.M,MR_VIBA.MR,MR_VIBL.MR,PD_Gamma,PD_Pump Event,PD_Axial Vibration,PD_Lateral Vibration
80192,2024-12-10 08:53:10,10287,,,19.53,-1.94,,38.82,,,,,,,,,,,,
80193,2024-12-10 08:53:12,10287,,,,,,,45,,,,,,,,,,,
80196,2024-12-10 08:53:14,10287.04,,,19.75,-4.08,,39.47,,,,,,,,,,,,
80198,2024-12-10 08:53:17,10266.67,,,,,,,35.2,,,,,,,,,,,
80199,2024-12-10 08:53:17,10287.04,,,,,,,35.2,,,,,,,,,,,
80202,2024-12-10 08:53:19,10287.07,,,19.97,9.67,,40.06,,,,,,,,,,,,
80205,2024-12-10 08:53:22,10287.07,,,,,,,39.8,,,,,,,,,,,
80210,2024-12-10 08:53:24,10287.1,,,20.16,-9.03,,40.12,,,,,,,,,,,,
80215,2024-12-10 08:53:29,10287.13,,,20.35,3.91,,40.27,,,,,,,,,,,,
80222,2024-12-10 08:53:34,10287.16,,,20.46,2.56,,40.19,,,,,,,,,,,,
80229,2024-12-10 08:53:38,10287.16,,,,,,,,,,0.08,,,1.34,0.82737535,,,,
80230,2024-12-10 08:53:39,10287.18,,,20.54,-8.56,,39.98,,,,,,,,,,,,
80238,2024-12-10 08:53:44,10287.21,,,20.62,10.07,,40.26,,,,,,,,,,,,
80244,2024-12-10 08:53:49,10287.23,,,20.71,-4.5,,40.04,,,,,,,,,,,,
80247,2024-12-10 08:53:52,10287.23,,,,,,,34.6,,,,,,,,,,,
80252,2024-12-10 08:53:54,10287.26,,,20.82,-3.56,,40.08,,,,,,,,,,,,
80260,2024-12-10 08:53:59,10287.28,,,20.94,9.07,,40.1,,,,,,,,,,,,
80266,2024-12-10 08:54:04,10287.3,,,21.05,-9.82,,40.58,,,,,,,,,,,,
80270,2024-12-10 08:54:07,10287.3,,,,,,,40.6,,,,,,,,,,,
80272,2024-12-10 08:54:09,10287.32,,,21.01,-0.56,,40.45,,,,,,,,,,,,
80278,2024-12-10 08:54:14,10287.33,,,20.76,-1.63,,40.91,,,,,,,,,,,,
80281,2024-12-10 08:54:17,10287.33,,,,,,,45.8,,,,,,,,,,,
80285,2024-12-10 08:54:19,10287.36,,,20.42,-7.78,,38.93,,,,,,,,,,,,
80287,2024-12-10 08:54:21,10287.36,,,,,,,,,,,,,,,17.07,Pumps Off Event,1.74,1.33
80291,2024-12-10 08:54:24,10287.4,,,20.08,9.96,,39.21,,,,,,,,,,,,
80294,2024-12-10 08:54:27,10287.4,,,,,,,38,,,,,,,,,,,
80296,2024-12-10 08:54:29,10287.44,,,19.79,-6.03,,39.91,,,,,,,,,,,,
80299,2024-12-10 08:54:32,10287.44,,,,,,,40.2,,,,,,,,,,,
80302,2024-12-10 08:54:34,10287.47,,,19.58,-1.5,,39.82,,,,,,,,,,,,
80305,2024-12-10 08:54:37,10287.47,,,,,,,41.4,,,,,,,,,,,
80307,2024-12-10 08:54:38,10223.62,,,,,,,,,,-0.1,,,1.41,0.75457525,,,,
80309,2024-12-10 08:54:39,10287.5,,,19.39,6.88,,40.12,,,,,,,,,,,,
80315,2024-12-10 08:54:44,10287.51,,,19.26,0,,41.65,,,,,,,,,,,,
80319,2024-12-10 08:54:49,10287.43,,,15.28,-6.11,,41.35,,,,,,,,,,,,
80323,2024-12-10 08:54:52,10264.62,,,,,,,44.4,,,,,,,,,,,
80324,2024-12-10 08:54:52,10287.43,,,,,,,44.4,,,,,,,,,,,
80327,2024-12-10 08:54:54,10285.75,,,0,-7.11,,17.75,,,,,,,,,,,,
80329,2024-12-10 08:54:57,10285.75,,,,,,,31,,,,,,,,,,,
80332,2024-12-10 08:54:59,10282.66,,,,-3.19,,-19.81,,,,,,,,,,,,
80341,2024-12-10 08:55:04,10279.42,,,,-1.56,,-25.36,,,,,,,,,,,,
80344,2024-12-10 08:55:07,10279.42,,,,,,,17.4,,,,,,,,,,,
80345,2024-12-10 08:55:09,10275.89,,,,,,,,,,,,,,,,Pumps On Event,,
80346,2024-12-10 08:55:09,10275.89,,,,-0.97,,-25.22,,,,,,,,,,Pumps On Event,,
80350,2024-12-10 08:55:12,10264.62,,,,,,,33.8,,,,,,,,,,,
80353,2024-12-10 08:55:14,10272.46,,,,-0.75,,-22.51,,,,,,,,,,,,
