,RT_Time,RT_Depth,RT_PUMP_ON,RT_PUMP_OFF,RT_ROP,RT_RPM.W,RT_SLIDE_BIT,RT_WOB,MR_GAMA.5S5A,MR_FLOW.M,MR_ROTATION,MR_RPM-AVG.MR,MR_RPM-MAG-AVG.MR,MR_GRAV.M,MR_VIBA.MR,MR_VIBL.MR,PD_Gamma,PD_Pump Event,PD_Axial Vibration,PD_Lateral Vibration
80358,2024-12-10 08:55:18,10264.62,,,,,,,,,,-0.18,,,0.61478174,1.9,,,,
80360,2024-12-10 08:55:18,10272.46,,,,,,,,,,-0.18,,,0.61478174,1.9,,,,
80361,2024-12-10 08:55:19,10268.88,,,,-0.63,,-21.58,,,,,,,,,,,,
80364,2024-12-10 08:55:21,10268.88,,,,,,,,,,,,,,,19.2,,1.74,1.33
80369,2024-12-10 08:55:24,10266.85,,,,-0.25,,-15.98,,,,,,,,,,,,
80373,2024-12-10 08:55:29,10266.8,,,,0,,-11.4,,,,,,,,,,,,
80377,2024-12-10 08:55:34,10266.8,,,,0.01,,-11.51,,,,,,,,,,,,
80379,2024-12-10 08:55:36,10223.62,,,,,,,,,,,,,,,22.4,,,
80383,2024-12-10 08:55:39,10266.8,,,,0,,-11.36,,,,,,,,,,,,
80389,2024-12-10 08:55:44,10266.8,,,,,,-11.28,,,,,,,,,,,,
80393,2024-12-10 08:55:49,10266.8,,,,0,,-11.24,,,,,,,,,,,,
80402,2024-12-10 08:55:54,10266.8,,,,-0.01,,-11.15,,,,,,,,,,,,
80407,2024-12-10 08:55:59,10266.8,,,,-0.01,,-11.45,,,,,,,,,,,,
80413,2024-12-10 08:56:04,10266.8,,,,0,,-11.44,,,,,,,,,,,,
80419,2024-12-10 08:56:09,10266.8,,,,0,,-11.66,,,,,,,,,,,,
80426,2024-12-10 08:56:14,10266.8,,,,-0.01,,-11.69,,,,,,,,,,,,
80431,2024-12-10 08:56:19,10266.8,,,,-0.01,,-11.69,,,,,,,,,,,,
80433,2024-12-10 08:56:21,10264.62,,,,,,,,,,,,,,,26.67,,1.74,1.38
80436,2024-12-10 08:56:25,10266.8,,,,0,,-11.54,,,,,,,,,,,,
80440,2024-12-10 08:56:29,10266.8,,,,,,-11.67,,,,,,,,,,,,
80447,2024-12-10 08:56:34,10266.8,,,,,,-11.65,,,,,,,,,,,,
80455,2024-12-10 08:56:39,10266.8,,,,0,,-11.51,,,,,,,,,,,,
80459,2024-12-10 08:56:44,10266.8,,,,-0.01,,-11.53,,,,,,,,,,,,
80461,2024-12-10 08:56:47,10264.64,,,,,,,34,,,,,,,,,Pumps Off Event,,
80462,2024-12-10 08:56:49,10266.8,,,,0.01,,-11.37,,,,,,,,,,,,
80469,2024-12-10 08:56:54,10266.8,,,,-0.01,,-11.27,,,,,,,,,,,,
80475,2024-12-10 08:56:59,10266.8,,,,-0.01,,-11.4,,,,,,,,,,,,
80480,2024-12-10 08:57:04,10266.8,,,,0,,-11.34,,,,,,,,,,,,
80486,2024-12-10 08:57:09,10266.8,,,,,,-11.31,,,,,,,,,,,,
80488,2024-12-10 08:57:12,10266.55,,,,,,,34.8,,,,,,,,,,,
80489,2024-12-10 08:57:14,10266.8,,,,,,-11.33,,,,,,,,,,,,
80497,2024-12-10 08:57:19,10266.8,,,,,,-11.39,,,,,,,,,,,,
80502,2024-12-10 08:57:24,10266.8,,,,,,-11.56,,,,,,,,,,,,
80506,2024-12-10 08:57:29,10266.8,,,,,,-11.53,,,,,,,,,,,,
80509,2024-12-10 08:57:34,10266.8,,,,,,-11.53,,,,,,,,,,,,
80510,2024-12-10 08:57:35,10266.55,,23,,,,,,,,,,,,,,,,
80516,2024-12-10 08:57:39,10266.8,,,,,,-11.32,,,,,,,,,,,,
80521,2024-12-10 08:57:44,10266.8,,,,,,-11.28,,,,,,,,,,,,
80524,2024-12-10 08:57:49,10266.8,,,,,,-11.47,,,,,,,,,,,,
80528,2024-12-10 08:57:54,10266.8,,,,,,-11.49,,,,,,,,,,,,
80533,2024-12-10 08:57:59,10266.8,,,,,,-11.65,,,,,,,,,,,,
80537,2024-12-10 08:58:04,10266.8,,,,,,-11.96,,,,,,,,,,,,
80542,2024-12-10 08:58:09,10266.8,,,,,,-12.19,,,,,,,,,,,,
80546,2024-12-10 08:58:14,10266.8,,,,,,-11.98,,,,,,,,,,,,
80551,2024-12-10 08:58:19,10266.8,,,,,,-12.04,,,,,,,,,,,,
80555,2024-12-10 08:58:24,10266.8,,,,,,-11.81,,,,,,,,,,,,
80560,2024-12-10 08:58:29,10266.8,,,,,,-12.08,,,,,,,,,,,,
80564,2024-12-10 08:58:34,10266.8,,,,,,-12.12,,,,,,,,,,,,
80568,2024-12-10 08:58:37,10266.8,,,,,,,35.4,,,,,,,,,,,
80570,2024-12-10 08:58:38,10266.8,,,,,,,,,,,,,0.46635965,,,,,
80571,2024-12-10 08:58:39,10266.75,,,,,,-12.97,,,,,,,,,,,,
80574,2024-12-10 08:58:44,10266.67,,,,,,-17.66,,,,,,,,,,,,
80578,2024-12-10 08:58:49,10266.67,,,,,,-17.59,,,,,,,,,,,,
80583,2024-12-10 08:58:54,10266.67,,,,,,-17.5,,,,,,,,,,,,
80589,2024-12-10 08:58:59,10266.67,,,,,,-17.7,,,,,,,,,,Pumps On Event,,
80593,2024-12-10 08:59:04,10266.67,,,,,,-17.54,,,,,,,,,,,,
80597,2024-12-10 08:59:09,10266.67,,,,,,-17.85,,,,,,,,,,,,
80601,2024-12-10 08:59:14,10266.67,,,,,,-17.96,,,,,,,,,,,,
80607,2024-12-10 08:59:19,10266.67,,,,,,-17.9,,,,,,,,,,,,
80612,2024-12-10 08:59:24,10266.67,,,,,,-17.72,,,,,,,,,,,,
80616,2024-12-10 08:59:29,10266.67,,,,,,-17.87,,,,,,,,,,,,
80620,2024-12-10 08:59:34,10266.67,,,,,,-17.76,,,,,,,,,,,,
80627,2024-12-10 08:59:39,10266.67,,,,,,-17.7,,,,,,,,,,,,
80630,2024-12-10 08:59:44,10266.67,,,,,,-18.01,,,,,,,,,,,,
80633,2024-12-10 08:59:47,10266.67,,,,,,,35,,,,,,,,,,,
80634,2024-12-10 08:59:49,10266.53,,,,,,-19.03,,,,,,,,,,,,
80637,2024-12-10 08:59:52,10266.53,,,,,,,32,,,,,,,,,,,
80638,2024-12-10 08:59:54,10265.49,,,0,,,-24.42,,,,,,,,,,,,
80645,2024-12-10 08:59:59,10264.85,,,0,,,-23.02,,,,,,,,,,,,
80652,2024-12-10 09:00:04,10264.64,,,,,,-22.67,,,,,,,,,,,,
80656,2024-12-10 09:00:09,10264.62,,,,,,-21.54,,,,,,,,,,,,
80660,2024-12-10 09:00:14,10264.62,,,,,,-21.61,,,,,,,,,,,,
80666,2024-12-10 09:00:19,10264.62,,,,,,-21.75,,,,,,,,,,,,
80671,2024-12-10 09:00:24,10264.62,,,,,,-21.68,,,,,,,,,,,,
80675,2024-12-10 09:00:29,10264.62,,,,,,-21.54,,,,,,,,,,,,
80678,2024-12-10 09:00:34,10264.62,,,,,,-21.98,,,,,,,,,,,,
80684,2024-12-10 09:00:38,10264.62,,,,,,,,,,,,,0.53545254,1.73,,,,
80685,2024-12-10 09:00:39,10264.62,,,,,,-22.03,,,,,,,,,,,,
80690,2024-12-10 09:00:44,10264.62,,,,,,-21.9,,,,,,,,,,,,
80692,2024-12-10 09:00:47,10264.62,,,,,,,26,,,,,,,,,,,
80695,2024-12-10 09:00:49,10264.62,,,,,,-21.91,,,,,,,,,,,,
80698,2024-12-10 09:00:52,10264.62,,,,,,,28.2,,,,,,,,,,,
80699,2024-12-10 09:00:54,10264.62,,,,,,-21.95,,,,,,,,,,,,
80702,2024-12-10 09:00:57,10264.62,,,,,,,29,,,,,,,,,,,
80705,2024-12-10 09:00:59,10264.62,,,,,,-22.04,,,,,,,,,,,,
80710,2024-12-10 09:01:05,10264.62,,,,,,-22.11,,,,,,,,,,,,
80713,2024-12-10 09:01:09,10264.62,,,,,,,,,,,,,,,,Pumps Off Event,,
80714,2024-12-10 09:01:09,10264.62,,,,,,-21.99,,,,,,,,,,Pumps Off Event,,
80717,2024-12-10 09:01:14,10264.62,,,,,,-21.92,,,,,,,,,,,,
80722,2024-12-10 09:01:19,10264.62,,,,,,-21.92,,,,,,,,,,,,
80726,2024-12-10 09:01:24,10264.62,,,,,,-21.96,,,,,,,,,,,,
80729,2024-12-10 09:01:27,10264.62,,,,,,,26,,,,,,,,,,,
80731,2024-12-10 09:01:29,10264.62,,,,,,-22.14,,,,,,,,,,,,
80736,2024-12-10 09:01:34,10264.62,,,,,,-22.11,,,,,,,,,,,,
80742,2024-12-10 09:01:39,10264.62,,,,,,-21.89,,,,,,,,,,,,
80745,2024-12-10 09:01:44,10264.62,,,,,,-22.09,,,,,,,,,,,,
80748,2024-12-10 09:01:49,10264.62,,,,,,-22.13,,,,,,,,,,,,
80754,2024-12-10 09:01:54,10264.62,,,,,,-22.18,,,,,,,,,,,,
80760,2024-12-10 09:01:59,10264.62,,,,,,-21.96,,,,,,,,,,,,
80763,2024-12-10 09:02:04,10264.62,,,,0,,-22.28,,,,,,,,,,Pumps On Event,,
80765,2024-12-10 09:02:06,10264.62,,,,,,,,,,,,,,,21.33,,,
80766,2024-12-10 09:02:07,10264.62,,,,,,,27.4,,,,,,,,,,,
80768,2024-12-10 09:02:09,10264.62,,,,0,,-22.47,,,,,,,,,,,,
80773,2024-12-10 09:02:14,10264.62,,,,,,-22.44,,,,,,,,,,,,
80775,2024-12-10 09:02:17,10264.62,,,,,,,30.2,,,,,,,,,,,
80779,2024-12-10 09:02:19,10264.62,,,,,,-22.35,,,,,,,,,,,,
80782,2024-12-10 09:02:22,10264.62,,,,,,,29.8,,,,,,,,,,,
80783,2024-12-10 09:02:24,10264.62,,,,,,-22.35,,,,,,,,,,,,
80786,2024-12-10 09:02:30,10264.62,,,,,,-22.27,,,,,,,,,,,,
80787,2024-12-10 09:02:30,10264.62,,,,,,-22.27,,,,,,,,,,,,
80789,2024-12-10 09:02:34,10264.62,,,,,,-22.25,,,,,,,,,,,,
80795,2024-12-10 09:02:39,10264.62,,,,,,-22.26,,,,,,,,,,,,
80799,2024-12-10 09:02:44,10264.62,,,,,,-22.24,,,,,,,,,,,,
80803,2024-12-10 09:02:49,10264.62,,,,,,-22.14,,,,,,,,,,,,
80807,2024-12-10 09:02:54,10264.62,,,,,,-22.23,,,,,,,,,,,,
80810,2024-12-10 09:02:57,10264.62,,,,,,,30.8,,,,,,,,,,,
80813,2024-12-10 09:02:58,10264.62,,,,,,,,,,,,,0.44537002,0.9947239,,,,
80815,2024-12-10 09:02:59,10264.64,,,,,,-22.36,,,,,,,,,,,,
80821,2024-12-10 09:03:04,10265.27,,,,,,-10.43,,,,,,,,,,,,
80827,2024-12-10 09:03:09,10266.16,,,,,,7.54,,,,,,,,,,,,
80831,2024-12-10 09:03:14,10266.55,,,,,,8.08,,,,,,,,,,,,
80836,2024-12-10 09:03:19,10266.55,,,,,,8.2,,,,,,,,,,,,
80841,2024-12-10 09:03:24,10266.55,,,,,,8.02,,,,,,,,,,,,
80846,2024-12-10 09:03:29,10266.55,,,,,,8.13,,,,,,,,,,,,
80849,2024-12-10 09:03:34,10266.55,,,,,,7.85,,,,,,,,,,,,
80855,2024-12-10 09:03:39,10266.55,,,,,,5.2,,,,,,,,,,,,
80858,2024-12-10 09:03:44,10266.55,,,,,,2.26,,,,,,,,,,,,
80862,2024-12-10 09:03:49,10266.55,,,,,,0.33,,,,,,,,,,,,
80868,2024-12-10 09:03:54,10266.55,,,,,,-0.35,,,,,,,,,,,,
80869,2024-12-10 09:03:54,10266.55,,,,,,-0.35,,,,,,,,,,,,
80874,2024-12-10 09:03:59,10266.58,,,,,,1.06,,,,,,,,,,,,
80878,2024-12-10 09:04:04,10266.7,,,,,,51.14,,,,,,,,,,,,
80879,2024-12-10 09:04:06,10266.7,,,,,,,,,,,,,,,23.47,,,
80880,2024-12-10 09:04:06,10266.7,,,,,,,,,,0,,,,,23.47,,,
80881,2024-12-10 09:04:09,10266.79,,,,,,120.55,,,,,,,,,,,,
80886,2024-12-10 09:04:14,10266.81,,,,,,139.3,,,,,,,,,,,,
80887,2024-12-10 09:04:14,10266.81,,,,,,139.3,,,,-0.04,,,,,,,,
80890,2024-12-10 09:04:19,10266.81,,,,0,,143.67,,,,,,,,,,,,
80894,2024-12-10 09:04:24,10266.81,,,,-19.99,,146.16,,,,,,,,,,,,
80899,2024-12-10 09:04:29,10266.81,,,,-36.29,,156.81,,,,,,,,,,,,
80905,2024-12-10 09:04:34,10266.81,,,,-36.1,,153.88,,,,,,,,,,,,
80906,2024-12-10 09:04:34,10266.81,,,,-36.1,,153.88,,,,,,,,,,,,
80912,2024-12-10 09:04:39,10266.81,,,,-36.06,,153.96,,,,,,,,,,,,
80916,2024-12-10 09:04:44,10266.81,,,,-23.58,,153.95,,,,,,,,,,,,
80920,2024-12-10 09:04:49,10266.81,,,,0.01,,154.08,,,,,,,,,,,,
80923,2024-12-10 09:04:51,10266.81,,,,,,,,,,,,,,,25.6,,,
80926,2024-12-10 09:04:55,10266.81,,,0,0.04,,154.61,,,,,,,,,,,,
80928,2024-12-10 09:04:59,10266.81,,,0,0,,154.77,,,,,,,,,,,,
80930,2024-12-10 09:05:04,10266.81,,,,,,154.06,,,,,,,,,,,,
80932,2024-12-10 09:05:09,10266.81,,,,,,154.16,,,,,,,,,,,,
80935,2024-12-10 09:05:14,10266.81,,,,,,154.24,,,,,,,,,,,,
80936,2024-12-10 09:05:19,10266.81,,,,,,154.19,,,,,,,,,,,,
80939,2024-12-10 09:05:24,10266.81,,,,,,154.05,,,,,,,,,,,,
80940,2024-12-10 09:05:29,10266.81,,,,,,153.71,,,,,,,,,,,,
80944,2024-12-10 09:05:34,10266.81,,,,,,153.94,,,,,,,,,,,,
80946,2024-12-10 09:05:39,10266.81,,,,,,154.01,,,,,,,,,,,,
80947,2024-12-10 09:05:44,10266.81,,,,,,154.09,,,,,,,,,,,,
80948,2024-12-10 09:05:49,10266.81,,,,,,154.13,,,,,,,,,,,,
80951,2024-12-10 09:05:51,10266.81,,,,,,,,,,,,,,,27.73,,,
80953,2024-12-10 09:05:54,10266.81,,,,,,154.3,,,,,,,,,,,,
80956,2024-12-10 09:05:59,10266.81,,,,,,153.6,,,,,,,,,,,,
80959,2024-12-10 09:06:04,10266.81,,,,,,151.66,,,,,,,,,,,,
80960,2024-12-10 09:06:06,10266.81,,,,,,,,,,,,,,,29.87,,,
80961,2024-12-10 09:06:08,10266.81,,,,,,,,,,,,,,,,Pumps On Event,,
80962,2024-12-10 09:06:09,10266.81,,,,,,152.47,,,,,,,,,,,,
80966,2024-12-10 09:06:14,10266.81,,,,,,151.51,,,,,,,,,,,,
80968,2024-12-10 09:06:19,10266.81,,,,,,150.55,,,,,,,,,,,,
80969,2024-12-10 09:06:21,10266.81,,,,,,,,,,,,,,,23.47,,1.74,1.42
80971,2024-12-10 09:06:24,10266.81,,,,,,150.43,,,,,,,,,,,,
80974,2024-12-10 09:06:29,10266.81,,,,,,151.35,,,,,,,,,,,,
80978,2024-12-10 09:06:33,10266.81,,,,,,,,,,,,,,,,Pumps Off Event,,
80979,2024-12-10 09:06:34,10265.13,,,,,,56.02,,,,,,,,,,,,
80980,2024-12-10 09:06:34,10265.13,,,,,,56.02,,1,,-0.8,,,0.1544262,0.18954074,,,,
80981,2024-12-10 09:06:35,10265.13,,,,,,,,,,,,,,,,Pumps On Event,,
80984,2024-12-10 09:06:39,10259.45,,,,,,-45.67,,,,,,,,,,,,
80987,2024-12-10 09:06:44,10253.5,,,,,,-44.24,,,,,,,,,,,,
80990,2024-12-10 09:06:49,10247.89,,,,,,-43.72,,,,,,,,,,,,
80992,2024-12-10 09:06:50,10247.89,,,,,,,,,,0.16,,,0.09305099,0.18101,,,,
80995,2024-12-10 09:06:54,10241.98,,,,,,-41.86,,,,,,,,,,,,
80998,2024-12-10 09:06:59,10236.1,,,,,,-42.08,,,,,,,,,,,,
81001,2024-12-10 09:07:04,10230.25,,,,,,-44.88,,,,,,,,,,,,
81002,2024-12-10 09:07:06,10230.25,,,,,,,,,,,,,,,27.73,,,
81004,2024-12-10 09:07:09,10224.44,,,,,,-43.76,,,,,,,,,,,,
81006,2024-12-10 09:07:10,10224.44,,,,,,,,,,0.18,,,0.09743634,,,,,
81008,2024-12-10 09:07:14,10218.65,,,,,,-42.81,,,,,,,,,,,,
81010,2024-12-10 09:07:17,10218.65,,,,,,,22,,,,,,,,,,,
81012,2024-12-10 09:07:19,10212.89,,,,,,-43.81,,,,,,,,,,,,
81014,2024-12-10 09:07:21,10212.89,,,,,,,,,,,,,,,24.53,,1.74,1.33
81017,2024-12-10 09:07:24,10206.87,,,,,,-41.64,,,,,,,,,,,,
81019,2024-12-10 09:07:27,10206.87,,,,,,,30.6,,,,,,,,,,,
81020,2024-12-10 09:07:29,10201.11,,,,,,-42.49,,,,,,,,,,,,
81027,2024-12-10 09:07:34,10195.2,,,,,,-43.54,,,,,,,,,,,,
81030,2024-12-10 09:07:37,10195.2,,,,,,,20.8,,,,,,,,,,,
81031,2024-12-10 09:07:39,10189.4,,,,,,-41.78,,,,,,,,,,,,
81033,2024-12-10 09:07:42,10189.4,,,,,,,24,,,,,,,,,,,
81035,2024-12-10 09:07:44,10183.63,,,,,,-43.03,,,,,,,,,,,,
81038,2024-12-10 09:07:46,10183.63,,,,,,,,,,,,,,,,Pumps Off Event,,
81041,2024-12-10 09:07:49,10177.79,,,,,,-40.81,,,,,,,,,,,,
81045,2024-12-10 09:07:52,10177.79,,,,,,,10.8,,,,,,,,,,,
81046,2024-12-10 09:07:54,10172.45,,,,,,-39.27,,,,,,,,,,,,
81050,2024-12-10 09:07:59,10171.83,,,,,,77.18,,,,,,,,,,,,
81051,2024-12-10 09:07:59,10171.83,,,,,,77.18,,,,-0.04,,,0.088863,,,,,
81054,2024-12-10 09:08:04,10171.88,,,,,,153.68,,,,,,,,,,,,
81058,2024-12-10 09:08:09,10171.88,,,,,,153.3,,,,,,,,,,,,
81061,2024-12-10 09:08:14,10171.88,,,,,,153.39,,,,,,,,,,,,
81065,2024-12-10 09:08:19,10171.88,,,,,,152.9,,,,,,,,,,,,
81066,2024-12-10 09:08:19,10171.88,,,,,,152.9,,,,0,,,,,,,,
81072,2024-12-10 09:08:24,10171.88,,,,,,153.49,,,,,,,,,,,,
81077,2024-12-10 09:08:29,10171.88,,,,,,151.54,,,,,,,,,,,,
81082,2024-12-10 09:08:34,10171.88,,,,,,152.38,,,,,,,,,,,,
81087,2024-12-10 09:08:39,10171.88,,,,,,151.8,,,,,,,,,,,,
81088,2024-12-10 09:08:39,10171.88,,,,,,151.8,,,,,,,,,,,,
81092,2024-12-10 09:08:44,10171.88,,,,0,,150.99,,,,,,,,,,,,
81099,2024-12-10 09:08:49,10171.88,,,,-0.01,,150.34,,,,,,,,,,,,
81105,2024-12-10 09:08:54,10171.88,,,,0,,151.41,,,,,,,,,,,,
81111,2024-12-10 09:08:59,10170.1,,,,,,49.13,,,,,,,,,,,,
81112,2024-12-10 09:08:59,10170.1,,,,,,49.13,,,,-0.16,,,0.12844612,,,,,
81116,2024-12-10 09:09:03,10170.1,,,,,,,,,,0,,,0.088863,,,,,
81117,2024-12-10 09:09:04,10164.41,,,,,,-43.94,,,,,,,,,,,,
81121,2024-12-10 09:09:09,10158.47,,,,,,-43.3,,,,,,,,,,,,
81126,2024-12-10 09:09:14,10152.9,,,,,,-43.73,,,,,,,,,,,,
81131,2024-12-10 09:09:19,10147.06,,,,,,-41.5,,,,,,,,,,,,
81132,2024-12-10 09:09:19,10147.06,,,,,,-41.5,,,,0.06,,,0.088863,0.18101,,,,
81133,2024-12-10 09:09:21,10147.06,,,,,,,,,,,,,,,22.4,,1.74,1.46
81135,2024-12-10 09:09:24,10141.1,,,,,,-42.6,,,,,,,,,,,,
81138,2024-12-10 09:09:29,10135.21,,,,,,-44.02,,,,,,,,,,,,
81140,2024-12-10 09:09:34,10129.41,,,,,,-43.11,,,,,,,,,,,,
81142,2024-12-10 09:09:36,10129.41,,,,,,,,,,,,,,,21.33,,,
81144,2024-12-10 09:09:39,10123.59,,,,,,-42.64,,,,,,,,,,,,
81145,2024-12-10 09:09:39,10123.59,,,,,,-42.64,,,,0.04,,,0.11714425,0.20782728,,,,
81148,2024-12-10 09:09:42,10123.59,,,,,,,20.8,,,,,,,,,,,
81149,2024-12-10 09:09:44,10117.73,,,,,,-42.98,,,,,,,,,,,,
81153,2024-12-10 09:09:49,10111.85,,,,,,-41.28,,,,,,,,,,,,
81154,2024-12-10 09:09:50,10111.85,,,,,,,,,,,,,,,,Pumps On Event,,
81156,2024-12-10 09:09:52,10111.85,,,,,,,23.4,,,,,,,,,,,
81157,2024-12-10 09:09:54,10106.14,,,0,,,-42.97,,,,,,,,,,,,
81159,2024-12-10 09:09:57,10106.14,,,,,,,13.8,,,,,,,,,,,
81160,2024-12-10 09:09:59,10100.29,,,0,,,-42.37,,,,,,,,,,,,
81161,2024-12-10 09:09:59,10100.29,,,0,,,-42.37,,,,0,,,0.09305099,0.18101,,,,
81163,2024-12-10 09:09:59,10106.14,,,,,,,,,,0,,,0.09305099,0.18101,,,,
81168,2024-12-10 09:10:04,10094.38,,,,,,-41.57,,,,,,,,,,,,
81171,2024-12-10 09:10:07,10094.38,,,,,,,25.8,,,,,,,,,,,
81172,2024-12-10 09:10:09,10088.61,,,,,,-43.07,,,,,,,,,,,,
81174,2024-12-10 09:10:12,10088.61,,,,,,,22.2,,,,,,,,,,,
81176,2024-12-10 09:10:14,10082.78,,,,,,-41.02,,,,,,,,,,,,
81180,2024-12-10 09:10:19,10077.7,,,,,,-38.39,,,,,,,,,,,,
81181,2024-12-10 09:10:19,10077.7,,,,,,-38.39,,,,-0.04,,,0.088863,,,,,
81182,2024-12-10 09:10:20,10077.7,,,,,,,,0,,,,,,,,,,
81187,2024-12-10 09:10:24,10077.87,,,,,,23.99,,,,,,,,,,,,
81190,2024-12-10 09:10:29,10078.02,,,,,,153.5,,,,,,,,,,,,
81193,2024-12-10 09:10:34,10078.02,,,,,,152.96,,,,,,,,,,,,
81197,2024-12-10 09:10:39,10078.02,,,,,,152.86,,,,,,,,,,,,
81198,2024-12-10 09:10:39,10078.02,,,,,,152.86,,,,,,,,,,,,
81201,2024-12-10 09:10:44,10078.02,,,,,,152.81,,,,,,,,,,,,
81205,2024-12-10 09:10:49,10078.02,,,,,,153.58,,,,,,,,,,,,
81206,2024-12-10 09:10:51,10078.02,,,,,,,,,,,,,,,27.73,,,
81207,2024-12-10 09:10:51,10078.02,,,,,,,,,,,,,,,27.73,,,
81209,2024-12-10 09:10:54,10078.02,,,,,,151.88,,,,,,,,,,,,
81214,2024-12-10 09:10:59,10078.02,,,,,,152.43,,,,,,,,,,,,
81215,2024-12-10 09:10:59,10078.02,,,,,,152.43,,,,,,,,,,,,
81220,2024-12-10 09:11:04,10078.02,,,,,,151.46,,,,,,,,,,,,
81221,2024-12-10 09:11:06,10078.02,,,,,,,,,,,,,,,26.67,,,
81225,2024-12-10 09:11:09,10078.02,,,,,,150.7,,,,,,,,,,,,
