,RT_Time,RT_Depth,RT_PUMP_ON,RT_PUMP_OFF,RT_ROP,RT_RPM.W,RT_SLIDE_BIT,RT_WOB,MR_GAMA.5S5A,MR_FLOW.M,MR_ROTATION,MR_RPM-AVG.MR,MR_RPM-MAG-AVG.MR,MR_GRAV.M,MR_VIBA.MR,MR_VIBL.MR,PD_Gamma,PD_Pump Event,PD_Axial Vibration,PD_Lateral Vibration
211291,2024-12-11 19:04:54,10713,,,0.4,-28.9,,24.61,,,,,,,,,,,,
211296,2024-12-11 19:04:59,10713.05,,,4.28,23.23,,24.33,,,,,,,,,,,,
211300,2024-12-11 19:05:02,10713.05,,,,,,,33.4,,,,,,,,,,,
211304,2024-12-11 19:05:04,10713.11,,,9.39,-8.05,,24.79,,,,,,,,,,,,
211306,2024-12-11 19:05:06,10713.11,,,,,,,,,,,,,,,32,,,
211310,2024-12-11 19:05:09,10713.18,,,14.26,-13.17,,24.93,,,,,,,,,,,,
211315,2024-12-11 19:05:12,10713.18,,,,,,,32.6,,,,,,,,,,,
211316,2024-12-11 19:05:12,10713.18,,,,,,,,,,0.1,,,1.69,1.37,,,,
211318,2024-12-11 19:05:14,10713.25,,,18.89,28.73,,25.02,,,,,,,,,,,,
211324,2024-12-11 19:05:19,10713.32,,,22.97,-26.63,,25.67,,,,,,,,,,,,
211328,2024-12-11 19:05:21,10713.32,,,,,,,,,,,,,,,34.13,,1.33,1.94
211329,2024-12-11 19:05:22,10713.32,,,,,,,31.8,,,,,,,,,,,
211332,2024-12-11 19:05:25,10713.39,,,26.76,7.94,,25.32,,,,,,,,,,,,
211333,2024-12-11 19:05:25,10713.39,,,26.76,7.94,,25.32,,,,,,,,,,,,
211338,2024-12-11 19:05:29,10713.45,,,31.5,14.84,,25.7,,,,,,,,,,,,
211343,2024-12-11 19:05:32,10713.45,,,,,,,35.4,,,,,,,,,,,
211344,2024-12-11 19:05:32,10713.45,,,,,,,,,,0.1,,,1.62,,,,,
211346,2024-12-11 19:05:34,10713.52,,,35.73,-28.3,,25.8,,,,,,,,,,,,
211349,2024-12-11 19:05:37,10713.52,,,,,,,31.6,,,,,,,,,,,
211350,2024-12-11 19:05:37,10715.58,,,,,,,31.6,,,,,,,,,,,
211352,2024-12-11 19:05:39,10713.59,,,39.17,25.46,,26.31,,,,,,,,,,,,
211358,2024-12-11 19:05:44,10713.66,,,42.88,-10.66,,25.96,,,,,,,,,,,,
211362,2024-12-11 19:05:47,10713.66,,,,,,,33.6,,,,,,,,,,,
211366,2024-12-11 19:05:49,10713.73,,,48.57,-10.58,,26.28,,,,,,,,,,,,
211368,2024-12-11 19:05:51,10713.73,,,,,,,,,,,,,,,33.07,,,
211375,2024-12-11 19:05:54,10713.79,,,49.03,26.82,,26.48,,,,,,,,,,,,
211381,2024-12-11 19:05:57,10713.79,,,,,,,33,,,,,,,,,,,
211384,2024-12-11 19:05:59,10713.86,,,49.01,-27.55,,26.89,,,,,,,,,,,,
211388,2024-12-11 19:06:02,10715.89,,,,,,,34.2,,,,,,,,,,,
211391,2024-12-11 19:06:04,10713.91,,,48.64,9.68,,26.61,,,,,,,,,,,,
211393,2024-12-11 19:06:06,10713.91,,,,,,,,,,,,,,,29.87,,,
211397,2024-12-11 19:06:09,10713.94,,,47.65,7.07,,26.09,,,,,,,,,,,,
211406,2024-12-11 19:06:14,10713.97,,,45.79,-25.45,,25.8,,,,,,,,,,,,
211412,2024-12-11 19:06:19,10714.01,,,43.37,28.92,,25.52,,,,,,,,,,,,
211414,2024-12-11 19:06:21,10716.15,,,,,,,,,,,,,,,33.07,,1.38,1.98
211415,2024-12-11 19:06:22,10714.01,,,,,,,31.6,,,,,,,,,,,
211418,2024-12-11 19:06:25,10713.84,,,24.67,-12.77,1,24.76,,,,,,,,,,,,
211420,2024-12-11 19:06:27,10675.21,,,,,,,33.2,,,,,,,,,,,
211422,2024-12-11 19:06:28,10713.84,,,,,,,,,,1.06,,,1.17,1.44,,,,
211423,2024-12-11 19:06:29,10711.26,,,0,-10.37,,-1.42,,,,,,,,,,,,
211429,2024-12-11 19:06:34,10709.12,,,,12.63,,-27.27,,,,,,,,,,,,
211435,2024-12-11 19:06:39,10709.12,,,,-27.19,,-23.16,,,,,,,,,,,,
211439,2024-12-11 19:06:42,10716.33,,,,,,,30,,,,,,,,,,,
211440,2024-12-11 19:06:44,10709.12,,,,17.53,,-22.87,,,,,,,,,,,,
211446,2024-12-11 19:06:49,10709.12,,,,4.66,,-22.36,,,,,,,,,,,,
211448,2024-12-11 19:06:51,10716.38,,,,,,,,,,,,,,,33.07,,,
211449,2024-12-11 19:06:52,10716.38,,,,,,,30,,,,,,,,,,,
211451,2024-12-11 19:06:54,10709.12,,,,-24.27,,-22.14,,,,,,,,,,,,
211456,2024-12-11 19:06:59,10709.12,,,,30.37,,-22.09,,,,,,,,,,,,
211459,2024-12-11 19:07:02,10709.12,,,,,,,31,,,,,,,,,,,
211461,2024-12-11 19:07:04,10709.61,,,,-15.96,,-17.21,,,,,,,,,,,,
211463,2024-12-11 19:07:06,10666.46,,,,,,,,,,,,,,,30.93,,,
211464,2024-12-11 19:07:06,10709.61,,,,,,,,,,,,,,,30.93,,,
211467,2024-12-11 19:07:08,10709.61,,,,,,,,,,-0.68,,,0.4883385,0.949954,,,,
211468,2024-12-11 19:07:09,10710.72,,,,-2.7,,-5.31,,,,,,,,,,,,
211471,2024-12-11 19:07:12,10710.72,,,,,,,34.8,,,,,,,,,,,
211473,2024-12-11 19:07:14,10711.86,,,,21.56,,-5.84,,,,,,,,,,,,
211478,2024-12-11 19:07:19,10712.82,,,,-30.95,,5.12,,,,,,,,,,,,
211481,2024-12-11 19:07:21,10716.58,,,,,,,,,,,,,,,35.2,,1.33,1.91
211485,2024-12-11 19:07:24,10713.13,,,,19.59,,8.93,,,,,,,,,,,,
211492,2024-12-11 19:07:29,10713.13,,,,1.62,,9.26,,,,,,,,,,,,
211497,2024-12-11 19:07:34,10713.13,,,,-22.84,,8.94,,,,,,,,,,,,
211501,2024-12-11 19:07:39,10713.13,,,,30.68,,8.7,,,,,,,,,,,,
211506,2024-12-11 19:07:44,10713.13,,,,-18.95,,8.55,,,,,,,,,,,,
211512,2024-12-11 19:07:48,10713.13,,,,,,,,,,-0.06,,,0.44537002,0.7901373,,,,
211514,2024-12-11 19:07:49,10713.13,,,,-1.3,,8.11,,,,,,,,,,,,
211520,2024-12-11 19:07:54,10713.13,,,,19.72,,7.85,,,,,,,,,,,,
211525,2024-12-11 19:07:59,10713.13,,,,-28.37,,7.6,,,,,,,,,,,,
211528,2024-12-11 19:08:02,10713.13,,,,,,,34,,,,,,,,,,,
211532,2024-12-11 19:08:04,10713.16,,,,21.71,,7.52,,,,,,,,,,,,
211538,2024-12-11 19:08:08,10713.16,,,,,,,,,,-0.02,,,0.42532507,0.82737535,,,,
211541,2024-12-11 19:08:10,10713.22,,,,-2.67,,8.16,,,,,,,,,,,,
211545,2024-12-11 19:08:14,10713.27,,,,-19.11,,8.51,,,,,,,,,,,,
211548,2024-12-11 19:08:17,10713.27,,,,,,,30.4,,,,,,,,,,,
211549,2024-12-11 19:08:17,10717.27,,,,,,,30.4,,,,,,,,,,,
211552,2024-12-11 19:08:19,10713.33,,,,30.99,,9.16,,,,,,,,,,,,
211554,2024-12-11 19:08:21,10713.33,,,,,,,,,,,,,,,,,1.33,1.88
211555,2024-12-11 19:08:21,10717.34,,,,,,,,,,,,,,,,,1.33,1.88
211558,2024-12-11 19:08:24,10713.38,,,,-22.52,,9.55,,,,,,,,,,,,
211560,2024-12-11 19:08:27,10713.38,,,,,,,36,,,,,,,,,,,
211562,2024-12-11 19:08:28,10676.47,,,,,,,,,,-0.06,,,0.6740948,1.09,,,,
211564,2024-12-11 19:08:28,10717.47,,,,,,,,,,-0.06,,,0.6740948,1.09,,,,
211567,2024-12-11 19:08:29,10713.44,,,,1.93,,9.68,,,,,,,,,,,,
211570,2024-12-11 19:08:32,10713.44,,,,,,,40,,,,,,,,,,,
211573,2024-12-11 19:08:34,10713.5,,,,19.54,,10.05,,,,,,,,,,,,
211580,2024-12-11 19:08:39,10713.55,,,,-29.67,,10.71,,,,,,,,,,,,
211583,2024-12-11 19:08:42,10713.55,,,,,,,36,,,,,,,,,,,
211585,2024-12-11 19:08:44,10713.61,,,,23.47,,11.02,,,,,,,,,,,,
211591,2024-12-11 19:08:48,10713.61,,,,,,,,,,-0.1,,,1.07,1.31,,,,
211592,2024-12-11 19:08:49,10713.67,,,,-2.9,,11.31,,,,,,,,,,,,
211595,2024-12-11 19:08:52,10713.67,,,,,,,34,,,,,,,,,,,
211598,2024-12-11 19:08:54,10713.73,,,,-17.42,,12.05,,,,,,,,,,,,
211605,2024-12-11 19:08:59,10713.78,,,,29.11,,12.41,,,,,,,,,,,,
211611,2024-12-11 19:09:04,10713.84,,,0,-23.62,1,12.87,,,,,,,,,,,,
211617,2024-12-11 19:09:08,10713.84,,,,,,,,,,-0.12,,,1.28,1.37,,,,
211618,2024-12-11 19:09:09,10713.89,,,0.74,6.84,,12.9,,,,,,,,,,,,
211621,2024-12-11 19:09:12,10713.89,,,,,,,37.2,,,,,,,,,,,
211622,2024-12-11 19:09:14,10713.94,,,5.26,12.61,,13.32,,,,,,,,,,,,
211626,2024-12-11 19:09:17,10713.94,,,,,,,33.6,,,,,,,,,,,
211628,2024-12-11 19:09:19,10713.98,,,8.94,-29.11,,13.3,,,,,,,,,,,,
211631,2024-12-11 19:09:21,10713.98,,,,,,,,,,,,,,,,,1.33,1.88
211632,2024-12-11 19:09:21,10718.01,,,,,,,,,,,,,,,,,1.33,1.88
211636,2024-12-11 19:09:24,10714.02,,,12.08,27.9,,13.62,,,,,,,,,,,,
211640,2024-12-11 19:09:27,10714.02,,,,,,,33.6,,,,,,,,,,,
211643,2024-12-11 19:09:29,10714.06,,,14.71,-6.12,,13.19,,,,,,,,,,,,
211646,2024-12-11 19:09:32,10677.14,,,,,,,32.4,,,,,,,,,,,
211647,2024-12-11 19:09:32,10718.14,,,,,,,32.4,,,,,,,,,,,
211649,2024-12-11 19:09:34,10714.1,,,16.97,-15.72,,13.46,,,,,,,,,,,,
211651,2024-12-11 19:09:37,10714.1,,,,,,,36.2,,,,,,,,,,,
211653,2024-12-11 19:09:39,10714.15,,,19.31,27.75,,13.84,,,,,,,,,,,,
211657,2024-12-11 19:09:42,10718.26,,,,,,,32.8,,,,,,,,,,,
211660,2024-12-11 19:09:44,10714.19,,,22.08,-25.1,,13.8,,,,,,,,,,,,
211663,2024-12-11 19:09:47,10714.19,,,,,,,30.2,,,,,,,,,,,
211667,2024-12-11 19:09:49,10714.23,,,24.25,11.81,,14.3,,,,,,,,,,,,
211670,2024-12-11 19:09:52,10718.38,,,,,,,37.6,,,,,,,,,,,
211673,2024-12-11 19:09:55,10714.27,,,25.78,14.78,,14.11,,,,,,,,,,,,
211675,2024-12-11 19:09:57,10677.44,,,,,,,32.8,,,,,,,,,,,
211677,2024-12-11 19:09:59,10714.31,,,27.02,-29.94,,14.52,,,,,,,,,,,,
211679,2024-12-11 19:10:02,10714.31,,,,,,,35.8,,,,,,,,,,,
211680,2024-12-11 19:10:02,10718.5,,,,,,,35.8,,,,,,,,,,,
211682,2024-12-11 19:10:04,10714.35,,,27.93,25.94,,14.81,,,,,,,,,,,,
211685,2024-12-11 19:10:07,10714.35,,,,,,,30.8,,,,,,,,,,,
211686,2024-12-11 19:10:07,10718.55,,,,,,,30.8,,,,,,,,,,,
211688,2024-12-11 19:10:08,10714.35,,,,,,,,,,0.1,,,0.97436345,1.58,,,,
211690,2024-12-11 19:10:09,10714.39,,,28.58,-8.3,,15.12,,,,,,,,,,,,
211693,2024-12-11 19:10:12,10714.39,,,,,,,30.8,,,,,,,,,,,
211694,2024-12-11 19:10:12,10718.59,,,,,,,30.8,,,,,,,,,,,
211696,2024-12-11 19:10:14,10714.45,,,29.11,-11.49,,15.25,,,,,,,,,,,,
211702,2024-12-11 19:10:19,10714.5,,,29.56,27.52,,15.84,,,,,,,,,,,,
211706,2024-12-11 19:10:22,10714.5,,,,,,,31.4,,,,,,,,,,,
211707,2024-12-11 19:10:22,10718.69,,,,,,,31.4,,,,,,,,,,,
211710,2024-12-11 19:10:24,10714.56,,,30.11,-27.33,,15.98,,,,,,,,,,,,
211715,2024-12-11 19:10:28,10714.56,,,,,,,,,,0,,,0.88863,1.44,,,,
211719,2024-12-11 19:10:29,10714.61,,,30.93,11.01,,16.68,,,,,,,,,,,,
211721,2024-12-11 19:10:32,10714.61,,,,,,,31.8,,,,,,,,,,,
211722,2024-12-11 19:10:32,10718.82,,,,,,,31.8,,,,,,,,,,,
211724,2024-12-11 19:10:34,10714.67,,,31.83,13.25,,16.65,,,,,,,,,,,,
211726,2024-12-11 19:10:36,10714.67,,,,,,,,,,,,,,,33.07,,,
211727,2024-12-11 19:10:37,10718.9,,,,,,,36.2,,,,,,,,,,,
211730,2024-12-11 19:10:39,10714.73,,,33.09,-26.21,,17.29,,,,,,,,,,,,
211732,2024-12-11 19:10:42,10714.73,,,,,,,31.4,,,,,,,,,,,
211733,2024-12-11 19:10:42,10718.98,,,,,,,31.4,,,,,,,,,,,
211735,2024-12-11 19:10:45,10714.78,,,34.6,27.65,,17.47,,,,,,,,,,,,
211737,2024-12-11 19:10:47,10678.07,,,,,,,33.8,,,,,,,,,,,
211739,2024-12-11 19:10:48,10714.78,,,,,,,,,,-0.02,,,1.23,1.58,,,,
211741,2024-12-11 19:10:48,10719.15,,,,,,,,,,-0.02,,,1.23,1.58,,,,
211743,2024-12-11 19:10:49,10714.84,,,36.3,-14.13,,17.66,,,,,,,,,,,,
211745,2024-12-11 19:10:51,10714.84,,,,,,,,,,,,,,,34.13,,,
211746,2024-12-11 19:10:52,10719.15,,,,,,,31.2,,,,,,,,,,,
211749,2024-12-11 19:10:54,10714.9,,,37.85,-9.23,,17.73,,,,,,,,,,,,
211756,2024-12-11 19:11:00,10714.95,,,39.12,25.57,,18.3,,,,,,,,,,,,
211757,2024-12-11 19:11:00,10714.95,,,39.12,25.57,,18.3,,,,,,,,,,,,
211759,2024-12-11 19:11:02,10719.32,,,,,,,32.8,,,,,,,,,,,
211761,2024-12-11 19:11:04,10715.01,,,39.98,-28.05,1,18.93,,,,,,,,,,,,
211763,2024-12-11 19:11:06,10715.01,,,,,,,,,,,,,,,37.33,,,
211766,2024-12-11 19:11:08,10669.4,,,,,,,,,,,,,1.28,1.51,,,,
211768,2024-12-11 19:11:08,10715.01,,,,,,,,,,,,,1.28,1.51,,,,
211770,2024-12-11 19:11:09,10715.06,,,40.44,14.6,1,18.95,,,,,,,,,,,,
211773,2024-12-11 19:11:12,10719.48,,,,,,,32.4,,,,,,,,,,,
211776,2024-12-11 19:11:14,10715.12,,,40.52,4.84,,19.25,,,,,,,,,,,,
211781,2024-12-11 19:11:19,10715.17,,,40.43,-24.9,,19.53,,,,,,,,,,,,
211784,2024-12-11 19:11:22,10715.17,,,,,,,32.8,,,,,,,,,,,
211786,2024-12-11 19:11:22,10719.64,,,,,,,32.8,,,,,,,,,,,
211788,2024-12-11 19:11:24,10715.23,,,40.31,28.54,,19.96,,,,,,,,,,,,
211794,2024-12-11 19:11:28,10715.23,,,,,,,,,,-0.02,,,1.47,1.51,,,,
211797,2024-12-11 19:11:29,10715.28,,,40.17,-15.66,,20,,,,,,,,,,,,
211800,2024-12-11 19:11:32,10715.28,,,,,,,31.6,,,,,,,,,,,
211801,2024-12-11 19:11:32,10719.79,,,,,,,31.6,,,,,,,,,,,
211806,2024-12-11 19:11:34,10715.34,,,40.03,-3.38,,20.32,,,,,,,,,,,,
211808,2024-12-11 19:11:36,10715.34,,,,,,,,,,,,,,,35.2,,,
211811,2024-12-11 19:11:39,10715.39,,,39.89,22.68,,20.28,,,,,,,,,,,,
211814,2024-12-11 19:11:42,10715.39,,,,,,,32,,,,,,,,,,,
211815,2024-12-11 19:11:42,10719.92,,,,,,,32,,,,,,,,,,,
211816,2024-12-11 19:11:44,10715.45,,,39.8,-28.47,,21.16,,,,,,,,,,,,
211818,2024-12-11 19:11:47,10715.45,,,,,,,35.6,,,,,,,,,,,
211820,2024-12-11 19:11:48,10715.45,,,,,,,,,,-0.06,,,1.47,1.58,,,,
211822,2024-12-11 19:11:48,10720.04,,,,,,,,,,-0.06,,,1.47,1.58,,,,
211823,2024-12-11 19:11:49,10715.52,,,39.9,16.93,,20.78,,,,,,,,,,,,
211825,2024-12-11 19:11:51,10715.52,,,,,,,,,,,,,,,32,,,
211826,2024-12-11 19:11:52,10720.04,,,,,,,37.2,,,,,,,,,,,
211829,2024-12-11 19:11:54,10715.58,,,40.23,2.13,,21.49,,,,,,,,,,,,
211837,2024-12-11 19:11:59,10715.64,,,40.76,-22.08,,21.51,,,,,,,,,,,,
211840,2024-12-11 19:12:02,10715.64,,,,,,,33.4,,,,,,,,,,,
211842,2024-12-11 19:12:02,10720.14,,,,,,,33.4,,,,,,,,,,,
211844,2024-12-11 19:12:04,10715.71,,,41.5,31.57,,22.43,,,,,,,,,,,,
211847,2024-12-11 19:12:07,10715.71,,,,,,,33.6,,,,,,,,,,,
211853,2024-12-11 19:12:11,10715.77,,,42.45,-20.47,,22.61,,,,,,,,,,,,
211854,2024-12-11 19:12:12,10720.22,,,,,,,34.6,,,,,,,,,,,
211857,2024-12-11 19:12:14,10715.83,,,43.43,-0.98,,22.71,,,,,,,,,,,,
211861,2024-12-11 19:12:17,10715.83,,,,,,,35.8,,,,,,,,,,,
211864,2024-12-11 19:12:19,10715.89,,,44.22,22.52,,22.55,,,,,,,,,,,,
211866,2024-12-11 19:12:21,10715.89,,,,,,,,,,,,,,,35.2,,1.33,1.91
211867,2024-12-11 19:12:22,10720.32,,,,,,,35.4,,,,,,,,,,,
211869,2024-12-11 19:12:24,10715.96,,,44.78,-30.84,,23.06,,,,,,,,,,,,
211871,2024-12-11 19:12:27,10715.96,,,,,,,36.4,,,,,,,,,,,
211875,2024-12-11 19:12:29,10716.02,,,45.15,20.97,,22.92,,,,,,,,,,,,
211879,2024-12-11 19:12:32,10720.41,,,,,,,34.2,,,,,,,,,,,
211882,2024-12-11 19:12:34,10716.08,,,45.3,0.26,,22.93,,,,,,,,,,,,
211885,2024-12-11 19:12:37,10716.08,,,,,,,32.4,,,,,,,,,,,
211886,2024-12-11 19:12:37,10720.45,,,,,,,32.4,,,,,,,,,,,
211890,2024-12-11 19:12:39,10716.15,,,45.32,-19.03,,23.33,,,,,,,,,,,,
211893,2024-12-11 19:12:42,10716.15,,,,,,,34.4,,,,,,,,,,,
211894,2024-12-11 19:12:42,10720.5,,,,,,,34.4,,,,,,,,,,,
211896,2024-12-11 19:12:44,10716.21,,,45.34,29.79,,24.35,,,,,,,,,,,,
211906,2024-12-11 19:12:50,10716.26,,,45.29,-20.18,,26.45,,,,,,,,,,,,
211907,2024-12-11 19:12:51,10720.6,,,,,,,,,,,,,,,36.27,,,
211908,2024-12-11 19:12:52,10716.26,,,,,,,36,,,,,,,,,,,
211909,2024-12-11 19:12:52,10720.6,,,,,,,36,,,,,,,,,,,
211912,2024-12-11 19:12:54,10716.3,,,44.64,1.91,,26.75,,,,,,,,,,,,
211914,2024-12-11 19:12:57,10716.3,,,,,,,30,,,,,,,,,,,
211918,2024-12-11 19:12:59,10716.33,,,43.43,15.18,,27.04,,,,,,,,,,,,
211924,2024-12-11 19:13:04,10716.36,,,41.71,-29.38,,27.15,,,,,,,,,,,,
211927,2024-12-11 19:13:07,10716.36,,,,,,,29,,,,,,,,,,,
211931,2024-12-11 19:13:09,10716.38,,,39.5,25.7,1,27.51,,,,,,,,,,,,
211933,2024-12-11 19:13:12,10716.38,,,,,,,36,,,,,,,,,,,
211935,2024-12-11 19:13:14,10716.41,,,37.07,-5.37,1,27.11,,,,,,,,,,,,
211941,2024-12-11 19:13:19,10716.43,,,34.25,-15.34,,26.82,,,,,,,,,,,,
211943,2024-12-11 19:13:21,10716.43,,,,,,,,,,,,,,,36.27,,1.33,1.91
211949,2024-12-11 19:13:24,10716.46,,,31.49,29.35,,27.22,,,,,,,,,,,,
211953,2024-12-11 19:13:27,10716.46,,,,,,,29.4,,,,,,,,,,,
211956,2024-12-11 19:13:29,10716.48,,,28.83,-25.34,,26.91,,,,,,,,,,,,
211959,2024-12-11 19:13:32,10716.48,,,,,,,31.8,,,,,,,,,,,
211960,2024-12-11 19:13:32,10720.99,,,,,,,31.8,,,,,,,,,,,
211963,2024-12-11 19:13:34,10716.52,,,26.53,7.57,,27.25,,,,,,,,,,,,
211965,2024-12-11 19:13:36,10716.52,,,,,,,,,,,,,,,36.27,,,
211966,2024-12-11 19:13:36,10716.52,,,,,,,,,,,,,,,36.27,,,
211969,2024-12-11 19:13:39,10716.58,,,24.46,16.9,,26.79,,,,,,,,,,,,
211972,2024-12-11 19:13:42,10716.58,,,,,,,31,,,,,,,,,,,
211975,2024-12-11 19:13:44,10716.63,,,23.24,-27.95,,27.61,,,,,,,,,,,,
211980,2024-12-11 19:13:48,10716.63,,,,,,,,,,0.1,,,1.34,1.09,,,,
211982,2024-12-11 19:13:48,10721.2,,,,,,,,,,0.1,,,1.34,1.09,,,,
211984,2024-12-11 19:13:49,10716.68,,,22.77,25.71,,27.26,,,,,,,,,,,,
211987,2024-12-11 19:13:52,10716.68,,,,,,,31.2,,,,,,,,,,,
211990,2024-12-11 19:13:55,10716.75,,,23.06,-9.78,,27.21,,,,,,,,,,,,
211995,2024-12-11 19:13:59,10716.81,,,24.21,-11.34,,26.6,,,,,,,,,,,,
212002,2024-12-11 19:14:04,10716.87,,,26.02,26.22,,26.85,,,,,,,,,,,,
212004,2024-12-11 19:14:06,10716.87,,,,,,,,,,,,,,,34.13,,,
212005,2024-12-11 19:14:07,10721.34,,,,,,,28.6,,,,,,,,,,,
212007,2024-12-11 19:14:08,10716.87,,,,,,,,,,0.1,,,1.41,1.14,,,,
212009,2024-12-11 19:14:09,10716.93,,,28.73,-25.51,,26.5,,,,,,,,,,,,
212012,2024-12-11 19:14:12,10716.93,,,,,,,34.6,,,,,,,,,,,
212017,2024-12-11 19:14:14,10717,,,32.23,11.9,,26.88,,,,,,,,,,,,
212022,2024-12-11 19:14:17,10717,,,,,,,33,,,,,,,,,,,
212024,2024-12-11 19:14:19,10717.07,,,36.55,11.06,,27.13,,,,,,,,,,,,
212027,2024-12-11 19:14:21,10717.07,,,,,,,,,,,,,,,33.07,,1.33,1.91
212028,2024-12-11 19:14:21,10721.39,,,,,,,,,,,,,,,33.07,,1.33,1.91
212032,2024-12-11 19:14:24,10717.13,,,40.73,-28.48,,27.62,,,,,,,,,,,,
212035,2024-12-11 19:14:27,10717.13,,,,,,,36.2,,,,,,,,,,,
212040,2024-12-11 19:14:29,10717.2,,,43.65,26.72,,28.61,,,,,,,,,,,,
212043,2024-12-11 19:14:32,10680.46,,,,,,,32.2,,,,,,,,,,,
212048,2024-12-11 19:14:34,10717.27,,,45.54,-12.49,,28.6,,,,,,,,,,,,
212054,2024-12-11 19:14:39,10717.34,,,46.98,-7.08,,29.28,,,,,,,,,,,,
212060,2024-12-11 19:14:44,10717.4,,,47.9,26.38,,29.25,,,,,,,,,,,,
212062,2024-12-11 19:14:47,10717.4,,,,,,,32.4,,,,,,,,,,,
212065,2024-12-11 19:14:49,10717.47,,,48.4,-29.74,,29.96,,,,,,,,,,,,
212073,2024-12-11 19:14:54,10717.54,,,48.6,12.98,,30.63,,,,,,,,,,,,
212077,2024-12-11 19:14:57,10717.54,,,,,,,33.6,,,,,,,,,,,
212078,2024-12-11 19:14:57,10721.76,,,,,,,33.6,,,,,,,,,,,
212081,2024-12-11 19:14:59,10717.59,,,48.33,7.13,,30.92,,,,,,,,,,,,
212083,2024-12-11 19:15:02,10717.59,,,,,,,36,,,,,,,,,,,
212086,2024-12-11 19:15:04,10717.64,,,47.53,-26.17,,31.03,,,,,,,,,,,,
212092,2024-12-11 19:15:08,10717.64,,,,,,,,,,-0.04,,,1.41,0.9947239,,,,
212093,2024-12-11 19:15:09,10717.68,,,46.34,29.59,,31.39,,,,,,,,,,,,
212101,2024-12-11 19:15:14,10717.72,,,44.61,-14.04,1,31.33,,,,,,,,,,,,
212103,2024-12-11 19:15:17,10717.72,,,,,,,32,,,,,,,,,,,
212107,2024-12-11 19:15:19,10717.76,,,42.54,-4.89,1,31.14,,,,,,,,,,,,
212110,2024-12-11 19:15:22,10717.76,,,,,,,38.2,,,,,,,,,,,
212112,2024-12-11 19:15:24,10717.81,,,40.15,23.05,,31.01,,,,,,,,,,,,
212118,2024-12-11 19:15:28,10717.81,,,,,,,,,,-0.02,,,1.41,0.86636835,,,,
212119,2024-12-11 19:15:29,10717.88,,,37.85,-29.65,,31.89,,,,,,,,,,,,
212122,2024-12-11 19:15:32,10717.88,,,,,,,31,,,,,,,,,,,
212125,2024-12-11 19:15:35,10717.95,,,36.38,17.22,,32.26,,,,,,,,,,,,
212128,2024-12-11 19:15:37,10717.95,,,,,,,35,,,,,,,,,,,
212131,2024-12-11 19:15:39,10718.01,,,35.65,3.48,,32.36,,,,,,,,,,,,
212138,2024-12-11 19:15:44,10718.07,,,36.02,-22.73,,32.52,,,,,,,,,,,,
212140,2024-12-11 19:15:47,10718.07,,,,,,,29.4,,,,,,,,,,,
212143,2024-12-11 19:15:49,10718.14,,,37.47,30.42,,32.58,,,,,,,,,,,,
212150,2024-12-11 19:15:54,10718.2,,,39.72,-16.12,,32.99,,,,,,,,,,,,
212153,2024-12-11 19:15:57,10718.2,,,,,,,31.2,,,,,,,,,,,
212158,2024-12-11 19:16:00,10718.26,,,41.94,-1.8,,32.8,,,,,,,,,,,,
212165,2024-12-11 19:16:04,10718.32,,,43.72,20.17,,33.12,,,,,,,,,,,,
212168,2024-12-11 19:16:07,10718.32,,,,,,,32,,,,,,,,,,,
212170,2024-12-11 19:16:08,10722.69,,,,,,,,,,0.02,,,1.54,0.7901373,,,,
212171,2024-12-11 19:16:09,10718.38,,,44.97,-28.68,,33.36,,,,,,,,,,,,
212176,2024-12-11 19:16:14,10718.44,,,45.43,21.51,,33.71,,,,,,,,,,,,
212183,2024-12-11 19:16:19,10718.5,,,45,0.94,,34.11,,,,,,,,,,,,
212187,2024-12-11 19:16:22,10718.5,,,,,,,32,,,,,,,,,,,
212188,2024-12-11 19:16:22,10722.88,,,,,,,32,,,,,,,,,,,
212191,2024-12-11 19:16:24,10718.55,,,44.29,-19.3,,34.03,,,,,,,,,,,,
212197,2024-12-11 19:16:28,10718.55,,,,,,,,,,0.08,,,1.54,0.86636835,,,,
212199,2024-12-11 19:16:29,10718.59,,,43.33,30.28,,34.4,,,,,,,,,,,,
212202,2024-12-11 19:16:32,10718.59,,,,,,,32.4,,,,,,,,,,,
212204,2024-12-11 19:16:34,10718.63,,,42.01,-22.19,,34.03,,,,,,,,,,,,
212208,2024-12-11 19:16:37,10718.63,,,,,,,36,,,,,,,,,,,
212210,2024-12-11 19:16:39,10718.69,,,40.65,-0.65,,33.61,,,,,,,,,,,,
212217,2024-12-11 19:16:45,10718.75,,,39.27,18.85,,32.94,,,,,,,,,,,,
212218,2024-12-11 19:16:47,10718.75,,,,,,,32.4,,,,,,,,,,,
212223,2024-12-11 19:16:49,10718.82,,,38.24,-29.34,,33.07,,,,,,,,,,,,
212225,2024-12-11 19:16:51,10682.29,,,,,,,,,,,,,,,29.87,,,
212226,2024-12-11 19:16:52,10718.82,,,,,,,29.8,,,,,,,,,,,
212230,2024-12-11 19:16:54,10718.9,,,38,23.65,,32.16,,,,,,,,,,,,
212234,2024-12-11 19:16:57,10723.36,,,,,,,30.6,,,,,,,,,,,
212237,2024-12-11 19:16:59,10718.98,,,39.34,-4.12,,31.9,,,,,,,,,,,,
